Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,NOVA ARCA DE NOE ESCOLA DE EDUCACAO INFANTIL LTDA,35008718,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA PROFESSORA RUTH FONSECA DE OLIVEIRA, 141 JARDIM NOVO MARACANA. 13058-402 Campinas - SP.",,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,BATTISTELLA PEREIRA E PEREIRA ESCOLA INFANTIL LTDA,35008860,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA MARIA DA ENCARNACAO DUARTE, 159 CHACARA DA BARRA. 13090-766 Campinas - SP.",(19) 32556273,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA DE EDUCACAO INFANTIL SANTA GENEBRA LTDA,35008891,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA MAESTRO FRANCISCO MANOEL DA SILVA, 133 JARDIM SANTA GENEBRA. 13080-190 Campinas - SP.",,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-22.8456179285422,-47.0710054133087
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA RENOVA EDUCACAO POR PRINCIPIOS,35008966,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA JAIME SEQUIER, 249 PARQUE TAQUARAL. 13087-140 Campinas - SP.",(19) 32910500,Privada,Confessional,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MAPLE BEAR CANADIAN SCHOOL CAMPINAS HIPICA,35008991,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA EGBERTO FERREIRA DE ARRUDA CAMARGO, 480 PARQUE DA HIPICA. 13092-621 Campinas - SP.",(19) 32588392,Privada,Particular,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MINISTERIO PENTECOSTAL LUZ DO MUNDO,35009020,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"AVENIDA CARLOS STELLA NETO, 600 JARDIM MONTE CRISTOPARQUE OZIEL. 13049-001 Campinas - SP.",(19) 988488980,Privada,Filantrópica,Sim,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-22.93838865,-47.08163358
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,AZENHA BERCARIO E RECREACAO DIRIGIDA LTDA,35009059,SP,Campinas,Rural,A escola não está em área de localização diferenciada,Privada,"RUA SAO CARLOS, 182 CASA 188. VILA INDUSTRIAL. 13035-420 Campinas - SP.",(19) 32723710,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,-22.91235205,-47.06433082
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,IRIS JARDIM DE INFANCIA WALDORF LTDA,35009090,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA FRANCISCO DE BARROS FILHO, 235 BARAO GERALDO. 13084-215 Campinas - SP.",(19) 33818189,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JARDIM DA INFANCIA BERCARIO E EDUCACAO INFANTIL DEBORA,35009281,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA FRANCISCO GASPAR DA SILVA, 381 JARDIM EULINA. 13063-490 Campinas - SP.",(19) 982251627,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA DE EDUCACAO INFANTIL PEQUENO MUNDO LTDA,35009308,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Privada,"RUA OURINHOS, 83 CHACARA DA BARRA. 13090-727 Campinas - SP.",(19) 997097661,Privada,Particular,Não,Sim,Até 50 matrículas de escolarização,Educação Infantil,,                              ,                              
