Escola,Código INEP,UF,Município,Localização,Endereço,Telefone,Categoria Escola Privada,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Latitude,Longitude
FARROUPILHA COLEGIO,35112732,SP,Campinas,Urbana,"FERNAO LOPES, 1420 1346. PARQUE TAQUARAL. 13087-051 Campinas - SP.",(19) 32417811,Particular,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,-22.8694542,-47.0615357
MADRE CECILIA COLEGIO,35112756,SP,Campinas,Urbana,"AVENIDA CORONEL SILVA TELES, 700 AVENIDA. CAMBUI. 13024-001 Campinas - SP.",(19) 37514063,Filantrópica,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.893988,-47.0508396
FRANCISCANO AVE MARIA COLEGIO,35112768,SP,Campinas,Urbana,"JAGUARA BARAO, 190 RUA. BOSQUE. 13026-099 Campinas - SP.",(19) 21369933,Filantrópica,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.9121493,-47.0548271
IMACULADA INSTITUTO EDUCACIONAL,35112773,SP,Campinas,Urbana,"ITAPURA BARAO, 1735 AVENIDA. BOTAFOGO. 13020-433 Campinas - SP.",(19) 32317911,Filantrópica,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.889964,-47.0623148
SESI 403 CENTRO EDUCACIONAL,35112859,SP,Campinas,Urbana,"AMOREIRAS, 450 AVENIDA. PARQUE ITALIA. 13036-225 Campinas - SP.",(19) 37724100,Particular,Entre 501 e 1000 matrículas de escolarização,Ensino Médio,-22.915662266314,-47.0688015595078
JULIO CHEVALIER INSTITUTO,35112872,SP,Campinas,Urbana,"SALES DE OLIVEIRA DOUTOR, 2000 RUA. VILA INDUSTRIAL. 13035-500 Campinas - SP.",(19) 37722840,Particular,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.90787,-47.07853
ESCOLA DE EDUCACAO BASICA E PROFISSIONAL FUNDACAO BRADESCO,35112884,SP,Campinas,Urbana,"AVENIDA WELLMAN GALVAO DE FRANCA RANGEL, 2000 SWISS PARK. 13049-254 Campinas - SP.",(19) 32680144,Filantrópica,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio, Educação Profissional",-22.96533443,-47.07881231
DOM BARRETO COLEGIO,35112896,SP,Campinas,Urbana,"SAUDADE, 705 AVENIDA. PONTE PRETA. 13041-670 Campinas - SP.",(19) 32324366,Filantrópica,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.91906962,-47.05331879
RIO BRANCO COLEGIO,35112902,SP,Campinas,Urbana,"CECILIA FERES ZOGBI, SN RUA. BARAO GERALDO. 13084-140 Campinas - SP.",(19) 33031250,Particular,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.8270509,-47.0750572
RENOVATUS COLEGIO E E I BRANCA DE NEVE,35112926,SP,Campinas,Urbana,"VINTE E QUATRO DE MAIO, 731 RUA. VILA INDUSTRIAL. 13035-370 Campinas - SP.",(19) 32728699,Particular,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.9104269,-47.074129
OBJETIVO COLEGIO DE CAMPINAS UNIDADE BARAO GERALDO,35118084,SP,Campinas,Urbana,"JOAO PEDROSO, 265 RUA. ARRUAMENTO FAIN JOSE FERES. 13084-583 Campinas - SP.",,Particular,Entre 501 e 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.8201715,-47.08527
VISCONDE DE SABUGOSA EEI,35118965,SP,Campinas,Urbana,"JOSE BONIFACIO, 837 AVENIDA. JARDIM FLAMBOYANT. 13091-140 Campinas - SP.",(19) 32554522,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.88595,-47.03079
SITIO ESCOLA DO,35121009,SP,Campinas,Urbana,"UIRAPURU, 820 RUA. JARDIM SAO GONCALO. 13082-706 Campinas - SP.",(19) 32891440,Particular,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.833704,-47.0924995
CASA DA GENTE ESCOLA EDUC INFANTIL,35123031,SP,Campinas,Urbana,"DOUTOR JESUINO MARCONDES MACHADO, 1001 NOVA CAMPINAS. 13092-108 Campinas - SP.",(19) 32534241,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.8979548963335,-47.0434896489743
BRASINHA CENTRO DE EDUCACAO INFANTIL,35123043,SP,Campinas,Urbana,"LUIZ DALINCOURT, 288 RUA. BOSQUE. 13026-040 Campinas - SP.",(19) 32529200,Particular,Entre 51 e 200 matrículas de escolarização,Educação Infantil,-22.9084567213644,-47.046557497277
ATIVA ESCOLA EDUCACAO INFANTIL E PG,35123079,SP,Campinas,Urbana,"ORQUIDEAS, 15 RUA. CHACARA PRIMAVERA. 13087-430 Campinas - SP.",(19) 32567635,Particular,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",-22.8625829,-47.0483732
JAIME KRATZ INSTITUTO EDUCACIONAL,35123080,SP,Campinas,Urbana,"DOMINGOS GIOVANINI PADRE, 187 RUA. PARQUE TAQUARAL. 13087-310 Campinas - SP.",(19) 32121838,Particular,Mais de 1000 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.8675515,-47.0607247
CASA DO SABER COLEGIO,35123754,SP,Campinas,Urbana,"RUA DOM HUMBERTO MAZZONE, 10 RUA. VILA PADRE ANCHIETA. 13068-323 Campinas - SP.",(19) 32812132,Particular,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental, Ensino Médio",-22.86374918,-47.15056933
SESI 421 CENTRO EDUCACIONAL,35124473,SP,Campinas,Urbana,"ARY RODRIGUES, 200 AVENIDA. PARQUE CAMELIAS. 13052-550 Campinas - SP.",(19) 37659210,Particular,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,-22.9739366666667,-47.10074
BENTO QUIRINO COLEGIO POLITECNICO UNIDADE II,35125568,SP,Campinas,Urbana,"JOSE DE ALENCAR, 430 RUA. CENTRO. 13013-040 Campinas - SP.",(19) 37373294,Particular,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",-22.9099562,-47.0596102
FUTURA ESCOLA DE EDUCACAO BASICA,35126846,SP,Campinas,Urbana,"GUARANI, 405 AVENIDA. JARDIM GUARANI. 13100-211 Campinas - SP.",(19) 32530346,Particular,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",-22.9150073,-47.0421194
